name,review_count,rating,distance,price,latitude,longitude
VIV At The Cosmo,2.0,4.0,494.3015663886066,,43.653236,-79.376716
George Restaurant,298.0,4.5,192.61427926784526,$$$$,43.653236,-79.376716
C'est What,346.0,3.5,619.3972508079466,$$,43.653236,-79.376716
Citrus Restaurant and Lounge,17.0,4.0,430.16183374131197,$$,43.653236,-79.376716
The Vintage Conservatory,7.0,4.0,327.87820304002935,$$,43.653236,-79.376716
Alobar Downtown,4.0,4.5,755.0552457937713,,43.653236,-79.376716
KINKA IZAKAYA ORIGINAL,1814.0,4.0,818.3672641461987,$$,43.653236,-79.376716
The Wing Shop,1.0,4.0,512.2938280451172,,43.653236,-79.376716
Clockwork Champagne & Cocktails,23.0,4.0,925.2478607941124,,43.653236,-79.376716
Hy's Steakhouse & Cocktail Bar,64.0,4.0,411.822680833976,,43.653236,-79.376716
Twilight Cafe,9.0,4.0,347.95384168622377,,43.653236,-79.376716
Rex's,12.0,3.5,702.2126417759072,$$,43.653236,-79.376716
The Loose Moose,460.0,3.5,1059.4745852245449,$$,43.653236,-79.376716
Bar St Lo,7.0,4.5,616.6390717507952,,43.653236,-79.376716
EPOCH Bar & Kitchen Terrace,20.0,4.0,1224.689653975731,,43.653236,-79.376716
The Bottom Line,58.0,2.5,726.5839099299133,$$,43.653236,-79.376716
Hair of the Dog,369.0,4.0,102.74360938293962,$$,43.663722,-79.380288
Bar Volo,28.0,4.5,469.11521487432753,,43.663722,-79.380288
Storm Crow Manor,147.0,4.0,353.79213063846925,$$,43.663722,-79.380288
Woody's,69.0,3.5,76.55358729637432,$$,43.663722,-79.380288
The Blake House,162.0,4.0,266.1224589475138,$$,43.663722,-79.380288
Buddies In Bad Times Theatre,23.0,4.0,220.61555541331344,$,43.663722,-79.380288
Horangee Sikdang,42.0,4.5,393.4154721088926,,43.663722,-79.380288
The Drink,20.0,2.5,52.83519430742135,$$$,43.663722,-79.380288
Pegasus On Church,30.0,4.0,154.85268812422066,$$,43.663722,-79.380288
Mick E Fynn's,52.0,2.5,254.92716999347448,$$,43.663722,-79.380288
The Queen And Beaver Public House,414.0,4.0,750.2916296459066,$$,43.663722,-79.380288
Skylight Rooftop Bar,14.0,4.0,869.360577622432,$$$$,43.663722,-79.380288
KINKA IZAKAYA ORIGINAL,1814.0,4.0,383.3225709992662,$$,43.663722,-79.380288
Bar+ Karaoke Lounge,120.0,4.0,617.9606273164119,$$,43.663722,-79.380288
Crews & Tangos,99.0,2.5,56.25044435409463,$$,43.663722,-79.380288
Page One,90.0,4.0,728.8305246849355,$$,43.663722,-79.380288
Black Eagle,22.0,3.5,56.88574955203182,$$,43.663722,-79.380288
Afuri,21.0,4.0,129.9860206884316,,43.663722,-79.380288
Upper Deck By Fran's,47.0,3.0,393.975118643935,$$,43.663722,-79.380288
Yonge Street Warehouse,114.0,2.5,694.9646711962318,$,43.663722,-79.380288
Loaded Pierogi,28.0,4.0,113.17541235612012,$$,43.663722,-79.380288
C Suite,3.0,5.0,1198.9417563709385,,43.663722,-79.380288
Maison Selby,114.0,4.0,890.4682378206494,,43.663722,-79.380288
Imperial Pub,157.0,3.5,829.7896134678459,$$,43.663722,-79.380288
Sailor,2.0,4.5,150.87352459243357,,43.663722,-79.380288
Ehwa J Bar,64.0,4.0,604.324678888985,$$,43.663722,-79.380288
W Burger Bar,307.0,3.5,368.7519171892596,$$,43.663722,-79.380288
Dalbam,1.0,5.0,722.6619654559173,,43.663722,-79.380288
The Lodge,6.0,3.5,87.6450057639366,$$,43.663722,-79.380288
The Churchmouse: A Firkin Pub,84.0,3.5,99.53303049223804,$$,43.663722,-79.380288
Fox and Fiddle,54.0,2.5,265.69789047300816,$$,43.663722,-79.380288
The Draft House,36.0,3.5,599.1566760342482,$$,43.663722,-79.380288
7 West Cafe,436.0,3.5,736.1269485331403,$$,43.663722,-79.380288
Hoops Sports Bar & Grill,4.0,3.0,337.0783550786332,,43.663722,-79.380288
Pogue Mahone Pub & Kitchen,143.0,2.5,490.0545976160148,$$,43.663722,-79.380288
Artful Dodger Pub,90.0,3.5,608.7688643687612,$$,43.663722,-79.380288
Koyoi Restaurant & Bar,135.0,4.0,530.7224978072376,$$,43.663722,-79.380288
Gabby's at the Isabella Hotel,28.0,3.5,755.1566115879051,$$,43.663722,-79.380288
The Bishop And Belcher,125.0,3.5,752.1102964048101,$$,43.663722,-79.380288
Big 3 Detroit Style Pizza,3.0,5.0,374.30349096732436,,43.663722,-79.380288
Ajisen Ramen and Bar,10.0,3.5,242.4798561431521,,43.663722,-79.380288
Stout Irish Pub,154.0,4.0,915.7683610347478,$$,43.663722,-79.380288
O'Grady's Restaurant,133.0,3.0,88.94312095046398,$$,43.663722,-79.380288
Rex's,12.0,3.5,819.1961061480309,$$,43.663722,-79.380288
The Pilot Tavern,138.0,3.5,1045.9986634632228,$$,43.663722,-79.380288
Su Karaoke Bar,1.0,5.0,639.1446733727211,,43.663722,-79.380288
The 3 Brewers,299.0,3.0,911.8720718115768,$$,43.663722,-79.380288
Church Street Garage,68.0,3.0,82.37075257632921,$$,43.663722,-79.380288
D Bar,96.0,3.5,1176.8432369708644,$$$,43.663722,-79.380288
The Senator,492.0,4.0,892.664212006901,$$,43.663722,-79.380288
After Seven,33.0,4.5,672.7963815425255,,43.657763,-79.389165
The Queen And Beaver Public House,414.0,4.0,473.2283897255041,$$,43.657763,-79.389165
Bar Volo,28.0,4.5,915.1920652304672,,43.657763,-79.389165
Handlebar,56.0,4.5,1112.4592697792823,$$,43.657763,-79.389165
Horangee Sikdang,42.0,4.5,615.3108818145923,,43.657763,-79.389165
Bar+ Karaoke Lounge,120.0,4.0,580.6265471371937,$$,43.657763,-79.389165
Big Trouble,78.0,4.0,765.6083977737708,,43.657763,-79.389165
