uid,station,latitude,longitude,slots,free_bikes,ll
7386,"D'Arcy St, /McCaul St. SMART",43.655227,-79.39201,15,14,"43.655227,-79.39201"
7387,Mortimer Ave / Carlaw Ave SMART,43.685167,-79.34962,12,2,"43.685167,-79.34962"
7384,Cumberland Ave / Bay St SMART,43.6704537,-79.39014,9,8,"43.6704537,-79.39014"
7385,20 Charles St E,43.6691099,-79.38551,22,3,"43.6691099,-79.38551"
7122,Niagara St / Tecumseth St,43.641389,-79.404444,15,6,"43.641389,-79.404444"
7123,424 Wellington St W,43.643834,-79.396649,15,14,"43.643834,-79.396649"
7257,Dundas St W / St. Patrick St,43.6545174,-79.3895315,19,16,"43.6545174,-79.3895315"
7252,Robert St / Bloor St W,43.665846,-79.404998,18,6,"43.665846,-79.404998"
7253,John St / Mercer St - SMART,43.6461,-79.3895,11,10,"43.6461,-79.3895"
7315,Queen St E / Hammersmith Ave,43.671349,-79.29451,11,10,"43.671349,-79.29451"
7314,Queen St. E / Eastern Ave,43.667208,-79.312315,15,0,"43.667208,-79.312315"
7317,Hubbard Blvd / Balsam Av,43.669328,-79.288949,19,16,"43.669328,-79.288949"
7316,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,15,6,"43.672571,-79.289"
7259,Lower Spadina Ave / Lake Shore Blvd W,43.638497,-79.39192,19,12,"43.638497,-79.39192"
7313,Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,15,5,"43.662771,-79.315223"
7312,Amelia St. / Sumach St.,43.66852,-79.363525,11,6,"43.66852,-79.363525"
7032,Augusta Ave / Dundas St W,43.652473,-79.401456,15,5,"43.652473,-79.401456"
7035,Queen St W / Ossington Ave,43.643975,-79.419576,23,11,"43.643975,-79.419576"
7036,Trinity St / Front St E,43.651318,-79.36023,19,14,"43.651318,-79.36023"
7038,Dundas St W / Yonge St,43.656094,-79.381484,31,29,"43.656094,-79.381484"
7132,Kendal Ave / Spadina Rd,43.670318,-79.405181,9,0,"43.670318,-79.405181"
7137,Davenport Rd / Bathurst St,43.676667,-79.416111,27,5,"43.676667,-79.416111"
7136,Queen St W / Close Ave,43.640634,-79.435841,23,13,"43.640634,-79.435841"
7148,King St W / Joe Shuster Way,43.639444,-79.423611,23,21,"43.639444,-79.423611"
7149,Yarmouth Rd / Christie St,43.67,-79.42083333333333,11,0,"43.67,-79.42083333333333"
7144,Palmerston Ave / Vermont Ave,43.671389,-79.416389,15,1,"43.671389,-79.416389"
7146,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,19,3,"43.68,-79.42500000000001"
7147,King St W / Fraser Ave,43.6394444,-79.42527777777778,15,15,"43.6394444,-79.42527777777778"
7140,Macpherson Ave / Spadina Rd,43.675791,-79.40698,15,0,"43.675791,-79.40698"
7141,Bridgeman Ave / Kendal Ave,43.675556,-79.410278,15,7,"43.675556,-79.410278"
7142,Bridgeman Ave / Bathurst St,43.674444,-79.414722,15,0,"43.674444,-79.414722"
7143,Kendal Ave / Bernard Ave,43.671513,-79.408317,15,5,"43.671513,-79.408317"
7351,Pretoria Av / Broadview Av,43.6783213,-79.35822,19,9,"43.6783213,-79.35822"
7350,Broadview Ave/ Westwood Ave,43.6848652,-79.356602,23,0,"43.6848652,-79.356602"
7353,Fulton Ave / Pape Ave,43.68395,-79.347046,19,9,"43.68395,-79.347046"
7352,Cosburn Ave / Donlands Ave,43.690537,-79.341307,19,0,"43.690537,-79.341307"
7355,Beltline Trail / Chaplin Cres.,43.704461,-79.423122,15,9,"43.704461,-79.423122"
7357,Lake Shore Blvd E / Leslie St,43.659195,-79.329196,19,16,"43.659195,-79.329196"
7356,King St E / Ontario St.,43.651885,-79.3649,17,13,"43.651885,-79.3649"
7359,Rosedale Park (20 Schofield Ave),43.682645,-79.377557,23,3,"43.682645,-79.377557"
7210,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,15,1,"43.6475,-79.43305555555555"
7217,Soho St. / Queen St W,43.6494896,-79.393535,7,6,"43.6494896,-79.393535"
7326,Davenport Rd / Landsdowne Rd,43.671526,-79.44874,19,14,"43.671526,-79.44874"
7321,Front St W / University Ave (2),43.6452972,-79.3827914,19,16,"43.6452972,-79.3827914"
7323,457 King St W.,43.6452091,-79.3960744,19,17,"43.6452091,-79.3960744"
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,19,1,"43.6555556,-79.43361111111112"
7328,Roxborough St W / Yonge St,43.678077,-79.390328,17,1,"43.678077,-79.390328"
7329,Crawford St / Queen St W,43.645665,-79.415345,19,5,"43.645665,-79.415345"
7368,Lisgar St / Dundas St SMART,43.6493472,-79.42668,8,6,"43.6493472,-79.42668"
7100,Dundas St E / Regent Park Blvd,43.660207,-79.361275,27,1,"43.660207,-79.361275"
7101,Lower Sherbourne St / The Esplanade,43.648655,-79.367061,27,22,"43.648655,-79.367061"
7102,Nelson St / Duncan St,43.648711,-79.389728,31,23,"43.648711,-79.389728"
7103,Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,15,5,"43.6605603,-79.3437663"
7105,Queen St E / Sackville St,43.6561111,-79.36138888888888,15,6,"43.6561111,-79.36138888888888"
7106,Mill St / Tannery Rd,43.652219,-79.354455,27,11,"43.652219,-79.354455"
7107,Cherry St / Distillery Ln,43.650279,-79.356832,15,6,"43.650279,-79.356832"
7069,Queen St W / Spadina Ave,43.649147,-79.395504,11,8,"43.649147,-79.395504"
7067,Yonge St / Harbour St,43.643795,-79.375413,39,30,"43.643795,-79.375413"
7066,Willcocks St / St. George St,43.662085,-79.397735,17,17,"43.662085,-79.397735"
7065,Dundas St E / Parliament St,43.659575,-79.365769,15,0,"43.659575,-79.365769"
7064,51 Parliament St,43.65205,-79.362198,19,11,"43.65205,-79.362198"
7063,Queen's Park / Bloor St W,43.668456,-79.393899,23,11,"43.668456,-79.393899"
7366,Fort York Blvd / Bathurst St SMART,43.639052,-79.399792,20,3,"43.639052,-79.399792"
7367,Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,16,1,"43.6448617,-79.42822"
7198,Queen St W / Cowan Ave,43.6409,-79.432837,19,13,"43.6409,-79.432837"
7192,Harbord St / Clinton St,43.660414,-79.415646,15,2,"43.660414,-79.415646"
7191,Central Tech (Harbord St),43.661975,-79.407896,11,0,"43.661975,-79.407896"
7196,Roxton Rd / Harbord St,43.65905,-79.422988,11,1,"43.65905,-79.422988"
7195,Ulster St / Bathurst St,43.66,-79.4088888888889,11,0,"43.66,-79.4088888888889"
7194,Mortimer Ave / Coxwell Ave,43.690564,-79.326319,23,16,"43.690564,-79.326319"
7083,Danforth Ave / Barrington Ave,43.688325,-79.300463,15,7,"43.688325,-79.300463"
7441,Pacific Ave / Glenlake Ave - SMART,43.65716,-79.46478,23,2,"43.65716,-79.46478"
7388,Broadview Ave / Danforth Ave,43.6772,-79.35858,15,2,"43.6772,-79.35858"
7089,Church St / Wood St,43.662712,-79.379903,19,11,"43.662712,-79.379903"
7389,College Park- Gerrard Entrance,43.658938,-79.383518,25,16,"43.658938,-79.383518"
7088,Danforth Ave / Coxwell Ave,43.683378,-79.322961,15,5,"43.683378,-79.322961"
7383,12 Harbour St,43.6425636,-79.3762,15,11,"43.6425636,-79.3762"
7247,Howard Park Ave / Dundas St W,43.6521,-79.4486,12,2,"43.6521,-79.4486"
7246,Yonge St / Bloor St,43.669969,-79.386532,14,2,"43.669969,-79.386532"
7244,Dufferin Gate,43.633473,-79.425679,16,6,"43.633473,-79.425679"
7242,Lake Shore Blvd W / Ontario Dr (Ontario Place),43.630254,-79.420317,35,18,"43.630254,-79.420317"
7240,Bloor St W / Shaw Ave,43.662403,-79.423098,34,13,"43.662403,-79.423098"
7360,Concord Av / Dewson St,43.656945,-79.424911,17,0,"43.656945,-79.424911"
7361,Hocken Ave./Vaughan Rd.,43.6817346,-79.4184725,19,2,"43.6817346,-79.4184725"
7362,St Clair Ave W / Bathurst St.,43.683296,-79.418734,19,0,"43.683296,-79.418734"
7364,Queen St E / Nursewood Rd (Neville Park Loop),43.673831,-79.281455,18,16,"43.673831,-79.281455"
7365,Kew Beach Ave / Kenilworth Ave,43.666325,-79.3014,23,22,"43.666325,-79.3014"
7249,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,16,1,"43.651145,-79.423742"
7248,Baldwin Ave / Spadina Ave,43.654905,-79.398448,20,4,"43.654905,-79.398448"
7432,Frederick St / King St E,43.651118,-79.369411,23,4,"43.651118,-79.369411"
7023,College St / Borden St,43.6571,-79.4056,11,5,"43.6571,-79.4056"
7027,Beverley  St / Dundas St W,43.652823,-79.393388,31,20,"43.652823,-79.393388"
7026,Bay St / St. Joseph St,43.665527,-79.387499,15,7,"43.665527,-79.387499"
7028,Gould St / Mutual St,43.6582,-79.3768,29,10,"43.6582,-79.3768"
7097,Riverdale Park North (Broadview Ave),43.671172,-79.354704,15,0,"43.671172,-79.354704"
7095,Danforth Ave / Ellerbeck St,43.677076,-79.35667,14,5,"43.677076,-79.35667"
7092,Pape Subway Green P,43.680223,-79.344062,15,3,"43.680223,-79.344062"
7093,Danforth Ave / Gough Ave,43.678401,-79.346289,17,5,"43.678401,-79.346289"
7090,Danforth Ave / Lamb Ave,43.681991,-79.329455,19,5,"43.681991,-79.329455"
7158,King St W / Stafford St,43.6422222,-79.41111111111111,15,6,"43.6422222,-79.41111111111111"
7155,Bathurst St / Lennox St,43.663808,-79.410491,19,0,"43.663808,-79.410491"
7154,Bathurst Subway Station,43.6666667,-79.41166666666668,23,5,"43.6666667,-79.41166666666668"
7153,Bloor St W / Christie St,43.6638889,-79.41888888888889,19,2,"43.6638889,-79.41888888888889"
7152,Ossington Ave / Bloor St W,43.661705,-79.425734,11,1,"43.661705,-79.425734"
7151,Essex St / Christie St,43.6686111,-79.42027777777778,19,0,"43.6686111,-79.42027777777778"
7296,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,19,1,"43.665327,-79.43235"
7297,Havelock St / Dufferin Park,43.657343,-79.43112,19,0,"43.657343,-79.43112"
7298,Bathurst St / Adelaide St W,43.645324,-79.40345,25,3,"43.645324,-79.40345"
7299,Mill St / Parliament St,43.650256,-79.36163,15,13,"43.650256,-79.36163"
7209,Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,19,3,"43.651111111111106,-79.4213888888889"
7208,80 Clinton St (North of College),43.656296,-79.414663,15,1,"43.656296,-79.414663"
7206,Claremont St / Dundas St W,43.651281,-79.411717,13,11,"43.651281,-79.411717"
7205,Rusholme Park Cres / College St,43.65277778,-79.42972222,15,2,"43.65277778,-79.42972222"
7204,College St / Crawford St,43.655,-79.418889,19,7,"43.655,-79.418889"
7337,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,19,11,"43.668553,-79.338673"
7336,Queen St E / Alton Av,43.663912,-79.327987,19,10,"43.663912,-79.327987"
7334,Simcoe St / Wellington St 2,43.6462176,-79.3855048,15,15,"43.6462176,-79.3855048"
7331,Coxwell Ave / Plains Rd,43.69595,-79.328535,19,8,"43.69595,-79.328535"
7339,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,15,2,"43.6753188,-79.3462789"
7338,Logan Ave / Bain Ave,43.6720273,-79.3470557,11,2,"43.6720273,-79.3470557"
7112,Liberty St / Fraser Ave Green P,43.637981,-79.424146,19,16,"43.637981,-79.424146"
7111,King St W / Douro St,43.640885,-79.416379,11,3,"43.640885,-79.416379"
7110,Queen St E / Berkeley St,43.6552778,-79.36583333333333,15,4,"43.6552778,-79.36583333333333"
7115,Howard St / Sherbourne St,43.6712581,-79.376367,15,0,"43.6712581,-79.376367"
7114,Carlton St / Parliament St,43.664524,-79.36793,27,6,"43.664524,-79.36793"
7119,Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,9,3,"43.665867,-79.362506"
7118,King St W / Bay St (East Side),43.648575,-79.380042,19,19,"43.648575,-79.380042"
7059,Front St W / Blue Jays Way,43.643473,-79.390477,15,12,"43.643473,-79.390477"
7053,Metro Hall Plaza,43.645859,-79.38783,27,27,"43.645859,-79.38783"
7056,Parliament St / Gerrard St,43.662132,-79.3656796,23,16,"43.662132,-79.3656796"
7054,Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051,11,5,"43.640722,-79.391051"
7055,Jarvis St / Carlton St,43.66207,-79.37617,15,4,"43.66207,-79.37617"
7319,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,11,6,"43.660206,-79.3244"
7318,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,15,7,"43.668633,-79.291162"
7272,Yonge St / Dundonald St,43.665801,-79.384796,12,1,"43.665801,-79.384796"
7273,Bay St / Charles St W,43.668153,-79.38891,20,3,"43.668153,-79.38891"
7270,Church St / Dundas St E,43.657024,-79.377257,15,8,"43.657024,-79.377257"
7271,Yonge St / Alexander St,43.662862,-79.383572,18,4,"43.662862,-79.383572"
7371,Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,20,3,"43.7063473,-79.40161"
7377,Balliol St / Yonge St SMART,43.6978701,-79.39419,36,19,"43.6978701,-79.39419"
7376,Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,19,0,"43.696708,-79.40045"
7375,Front St E / Scott St,43.6476616,-79.37549,11,8,"43.6476616,-79.37549"
7374,Frederick St / The Esplanade,43.6487245,-79.36839,19,17,"43.6487245,-79.36839"
7015,King St W / Bay St (West Side),43.64852,-79.380576,39,39,"43.64852,-79.380576"
7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,15,14,"43.656026,-79.385327"
7010,King St W / Spadina Ave,43.645323,-79.395003,19,17,"43.645323,-79.395003"
7139,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,15,3,"43.677778,-79.405556"
7168,Queens Quay / Yonge St,43.641646,-79.375308,31,29,"43.641646,-79.375308"
7169,Front St W / Bay St (North Side),43.646162,-79.378912,11,11,"43.646162,-79.378912"
7085,Danforth Ave / Westlake Ave,43.687323,-79.304848,15,9,"43.687323,-79.304848"
7031,Jarvis St / Isabella St,43.668991,-79.379385,23,1,"43.668991,-79.379385"
7163,Yonge St / Wood St,43.6622222,-79.3825,15,5,"43.6622222,-79.3825"
7160,King St W / Tecumseth St,43.64333333333333,-79.40555555555557,19,3,"43.64333333333333,-79.40555555555557"
7161,Beverley St / College St,43.6575,-79.39527777777778,23,23,"43.6575,-79.39527777777778"
7164,Gould St / Yonge St (Ryerson University),43.657424,-79.381019,23,15,"43.657424,-79.381019"
7283,Front St W / Bay St (South Side),43.64595,-79.378761,19,18,"43.64595,-79.378761"
7281,Charles St W / Balmuto St,43.668427,-79.38725,20,2,"43.668427,-79.38725"
7280,Charles St E / Jarvis St,43.669604,-79.381171,20,1,"43.669604,-79.381171"
7287,Queen St E / Pape Ave,43.661673,-79.337789,15,12,"43.661673,-79.337789"
7286,Gerrard St E / Broadview,43.665656,-79.352055,18,3,"43.665656,-79.352055"
7289,Humber Bay Shores Park East,43.6308933,-79.4722622,23,18,"43.6308933,-79.4722622"
7288,Humber Bay Shores Park West,43.6224434,-79.480284,31,2,"43.6224434,-79.480284"
7131,Taddle Creek Park,43.66986,-79.398443,15,6,"43.66986,-79.398443"
7236,Thompson St / Broadview Ave,43.659471,-79.350325,12,1,"43.659471,-79.350325"
7234,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,19,8,"43.650492,-79.450842"
7232,Queen St W / Fuller Ave,43.640255,-79.439223,16,5,"43.640255,-79.439223"
7233,King St W / Cowan Ave,43.637922,-79.431734,16,8,"43.637922,-79.431734"
7230,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,19,19,"43.643769,-79.447915"
7238,Sorauren St / Geoffrey St (Sorauren Park),43.649172,-79.4445087,16,5,"43.649172,-79.4445087"
7239,Bloor St W / Manning Ave,43.663912,-79.416124,20,2,"43.663912,-79.416124"
