station,latitude,longitude,slots,free_bikes,ll
Lower Spadina Ave / Lake Shore Blvd W,43.638497,-79.39192,19,10,"43.638497,-79.39192"
Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,15,6,"43.662771,-79.315223"
Amelia St. / Sumach St.,43.66852,-79.363525,11,9,"43.66852,-79.363525"
Augusta Ave / Dundas St W,43.652473,-79.401456,15,5,"43.652473,-79.401456"
Queen St W / Ossington Ave,43.643975,-79.419576,23,23,"43.643975,-79.419576"
Trinity St / Front St E,43.651318,-79.36023,19,16,"43.651318,-79.36023"
Dundas St W / Yonge St,43.656094,-79.381484,31,6,"43.656094,-79.381484"
Kendal Ave / Spadina Rd,43.670318,-79.405181,9,4,"43.670318,-79.405181"
Davenport Rd / Bathurst St,43.676667,-79.416111,27,5,"43.676667,-79.416111"
Queen St W / Close Ave,43.640634,-79.435841,23,15,"43.640634,-79.435841"
King St W / Joe Shuster Way,43.639444,-79.423611,23,16,"43.639444,-79.423611"
Yarmouth Rd / Christie St,43.67,-79.42083333333333,11,5,"43.67,-79.42083333333333"
Palmerston Ave / Vermont Ave,43.671389,-79.416389,15,2,"43.671389,-79.416389"
Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,19,15,"43.68,-79.42500000000001"
King St W / Fraser Ave,43.6394444,-79.42527777777778,15,13,"43.6394444,-79.42527777777778"
Macpherson Ave / Spadina Rd,43.675791,-79.40698,15,4,"43.675791,-79.40698"
Bridgeman Ave / Kendal Ave,43.675556,-79.410278,15,3,"43.675556,-79.410278"
Bridgeman Ave / Bathurst St,43.674444,-79.414722,15,3,"43.674444,-79.414722"
Kendal Ave / Bernard Ave,43.671513,-79.408317,15,7,"43.671513,-79.408317"
Pretoria Av / Broadview Av,43.6783213,-79.35822,19,3,"43.6783213,-79.35822"
Broadview Ave/ Westwood Ave,43.6848652,-79.356602,23,2,"43.6848652,-79.356602"
Fulton Ave / Pape Ave,43.68395,-79.347046,19,10,"43.68395,-79.347046"
Cosburn Ave / Donlands Ave,43.690537,-79.341307,19,2,"43.690537,-79.341307"
Beltline Trail / Chaplin Cres.,43.704461,-79.423122,15,10,"43.704461,-79.423122"
Lake Shore Blvd E / Leslie St,43.659195,-79.329196,19,13,"43.659195,-79.329196"
King St E / Ontario St.,43.651885,-79.3649,17,12,"43.651885,-79.3649"
Rosedale Park (20 Schofield Ave),43.682645,-79.377557,23,3,"43.682645,-79.377557"
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,15,5,"43.6475,-79.43305555555555"
Soho St. / Queen St W,43.6494896,-79.393535,7,3,"43.6494896,-79.393535"
Davenport Rd / Landsdowne Rd,43.671526,-79.44874,19,15,"43.671526,-79.44874"
Front St W / University Ave (2),43.6452972,-79.3827914,19,7,"43.6452972,-79.3827914"
457 King St W.,43.6452091,-79.3960744,19,18,"43.6452091,-79.3960744"
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,19,2,"43.6555556,-79.43361111111112"
Roxborough St W / Yonge St,43.678077,-79.390328,17,3,"43.678077,-79.390328"
Crawford St / Queen St W,43.645665,-79.415345,19,7,"43.645665,-79.415345"
Lisgar St / Dundas St SMART,43.6493472,-79.42668,8,6,"43.6493472,-79.42668"
Dundas St E / Regent Park Blvd,43.660207,-79.361275,27,24,"43.660207,-79.361275"
Lower Sherbourne St / The Esplanade,43.648655,-79.367061,27,23,"43.648655,-79.367061"
Nelson St / Duncan St,43.648711,-79.389728,31,15,"43.648711,-79.389728"
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,15,5,"43.6605603,-79.3437663"
Queen St E / Sackville St,43.6561111,-79.36138888888888,15,12,"43.6561111,-79.36138888888888"
Mill St / Tannery Rd,43.652219,-79.354455,27,15,"43.652219,-79.354455"
Cherry St / Distillery Ln,43.650279,-79.356832,15,11,"43.650279,-79.356832"
Queen St W / Spadina Ave,43.649147,-79.395504,11,4,"43.649147,-79.395504"
Yonge St / Harbour St,43.643795,-79.375413,39,28,"43.643795,-79.375413"
Willcocks St / St. George St,43.662085,-79.397735,17,3,"43.662085,-79.397735"
Dundas St E / Parliament St,43.659575,-79.365769,15,10,"43.659575,-79.365769"
51 Parliament St,43.65205,-79.362198,19,10,"43.65205,-79.362198"
Queen's Park / Bloor St W,43.668456,-79.393899,23,12,"43.668456,-79.393899"
Fort York Blvd / Bathurst St SMART,43.639052,-79.399792,20,16,"43.639052,-79.399792"
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,16,5,"43.6448617,-79.42822"
Queen St W / Cowan Ave,43.6409,-79.432837,19,18,"43.6409,-79.432837"
Harbord St / Clinton St,43.660414,-79.415646,15,3,"43.660414,-79.415646"
Central Tech (Harbord St),43.661975,-79.407896,11,0,"43.661975,-79.407896"
Roxton Rd / Harbord St,43.65905,-79.422988,11,4,"43.65905,-79.422988"
Ulster St / Bathurst St,43.66,-79.4088888888889,11,5,"43.66,-79.4088888888889"
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,23,17,"43.690564,-79.326319"
Danforth Ave / Barrington Ave,43.688325,-79.300463,15,7,"43.688325,-79.300463"
Pacific Ave / Glenlake Ave - SMART,43.65716,-79.46478,23,7,"43.65716,-79.46478"
Broadview Ave / Danforth Ave,43.6772,-79.35858,15,12,"43.6772,-79.35858"
Church St / Wood St,43.662712,-79.379903,19,7,"43.662712,-79.379903"
College Park- Gerrard Entrance,43.658938,-79.383518,25,11,"43.658938,-79.383518"
Danforth Ave / Coxwell Ave,43.683378,-79.322961,15,8,"43.683378,-79.322961"
12 Harbour St,43.6425636,-79.3762,15,9,"43.6425636,-79.3762"
Howard Park Ave / Dundas St W,43.6521,-79.4486,12,4,"43.6521,-79.4486"
Yonge St / Bloor St,43.669969,-79.386532,14,0,"43.669969,-79.386532"
Dufferin Gate,43.633473,-79.425679,16,3,"43.633473,-79.425679"
Lake Shore Blvd W / Ontario Dr (Ontario Place),43.630254,-79.420317,35,10,"43.630254,-79.420317"
Bloor St W / Shaw Ave,43.662403,-79.423098,34,6,"43.662403,-79.423098"
Concord Av / Dewson St,43.656945,-79.424911,17,4,"43.656945,-79.424911"
Hocken Ave./Vaughan Rd.,43.6817346,-79.4184725,19,5,"43.6817346,-79.4184725"
St Clair Ave W / Bathurst St.,43.683296,-79.418734,19,9,"43.683296,-79.418734"
Queen St E / Nursewood Rd (Neville Park Loop),43.673831,-79.281455,18,15,"43.673831,-79.281455"
Kew Beach Ave / Kenilworth Ave,43.666325,-79.3014,23,20,"43.666325,-79.3014"
Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,16,8,"43.651145,-79.423742"
Baldwin Ave / Spadina Ave,43.654905,-79.398448,20,4,"43.654905,-79.398448"
Frederick St / King St E,43.651118,-79.369411,23,8,"43.651118,-79.369411"
College St / Borden St,43.6571,-79.4056,11,8,"43.6571,-79.4056"
Beverley  St / Dundas St W,43.652823,-79.393388,31,23,"43.652823,-79.393388"
Bay St / St. Joseph St,43.665527,-79.387499,15,3,"43.665527,-79.387499"
Gould St / Mutual St,43.6582,-79.3768,29,5,"43.6582,-79.3768"
Riverdale Park North (Broadview Ave),43.671172,-79.354704,15,6,"43.671172,-79.354704"
Danforth Ave / Ellerbeck St,43.677076,-79.35667,14,6,"43.677076,-79.35667"
Pape Subway Green P,43.680223,-79.344062,15,4,"43.680223,-79.344062"
Danforth Ave / Gough Ave,43.678401,-79.346289,17,13,"43.678401,-79.346289"
