station,latitude,longitude,slots,free_bikes,ll
1188 Bay St,43.669244,-79.3894,19,16,"43.669244,-79.3894"
Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,15,4,"43.683351,-79.41562"
Dundas St E / George St - SMART,43.6574766,-79.373446,25,10,"43.6574766,-79.373446"
Fleet St / Bathurst St,43.636611,-79.400042,23,21,"43.636611,-79.400042"
Tecumseth St / Queen St W,43.646552,-79.406468,9,6,"43.646552,-79.406468"
Wellington St W / Bay St,43.647259,-79.379878,27,14,"43.647259,-79.379878"
Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,16,1,"43.713524,-79.400162"
St James Park,43.65003919999999,-79.3733541,15,7,"43.65003919999999,-79.3733541"
Bay St / Albert St,43.653264,-79.382458,35,9,"43.653264,-79.382458"
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,18,2,"43.663376,-79.392125"
Bay St / College St (East Side),43.660439,-79.385525,19,8,"43.660439,-79.385525"
University Ave / College St (West),43.659226,-79.390213,11,11,"43.659226,-79.390213"
University Ave / College St (East),43.65995,-79.38964,14,11,"43.65995,-79.38964"
Queen's Park Cres E / Grosvenor St,43.661803,-79.389682,12,8,"43.661803,-79.389682"
Bay St / College St (West Side),43.660087,-79.385655,12,0,"43.660087,-79.385655"
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,17,10,"43.6146692,-79.4873148"
Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,31,21,"43.626265,-79.476723"
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,27,25,"43.63771,-79.458173"
Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,22,22,"43.6390437,-79.4760109"
St Clarens Ave / Shirley Ave,43.6486599,-79.4376413,15,0,"43.6486599,-79.4376413"
Lisgar Park,43.6423847,-79.4240277,23,13,"43.6423847,-79.4240277"
Bartlett Parkette,43.6702236,-79.4360232,23,4,"43.6702236,-79.4360232"
Sherbourne St N / Elm Ave,43.6752732,-79.3778458,22,4,"43.6752732,-79.3778458"
Walnut Ave / Queen St W,43.645469,-79.411084,16,7,"43.645469,-79.411084"
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,19,0,"43.6882821,-79.4253856"
Palmerston Ave / Dundas St W,43.651603,-79.408346,23,13,"43.651603,-79.408346"
541 Huron St,43.670206,-79.402643,20,2,"43.670206,-79.402643"
Euclid Ave / Herrick St,43.661559,-79.413845,16,4,"43.661559,-79.413845"
Baldwin St / Henry St,43.6560758,-79.393259,15,9,"43.6560758,-79.393259"
Orde St / McCaul St,43.6580442,-79.3927404,15,8,"43.6580442,-79.3927404"
Ross St / Cecil St,43.6568254,-79.3966159,18,6,"43.6568254,-79.3966159"
Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,19,17,"43.5927419,-79.54033009999999"
Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,19,9,"43.597082,-79.522768"
Windsor St / Newcastle St,43.6171635,-79.4971065,31,3,"43.6171635,-79.4971065"
Royal York Rd / Mimico Ave,43.612063,-79.496573,20,10,"43.612063,-79.496573"
Berry Rd / Bell Manor Dr,43.63732,-79.489083,19,11,"43.63732,-79.489083"
Humber College,43.5961692,-79.5160575,27,7,"43.5961692,-79.5160575"
Amos Waites Park,43.613606,-79.4883535,27,19,"43.613606,-79.4883535"
Priscilla  Ave / Dundas St W,43.664665,-79.489385,23,9,"43.664665,-79.489385"
Durie St / Dundas St W,43.665523,-79.484892,23,20,"43.665523,-79.484892"
St Clair Ave W / Castleton Ave,43.668496,-79.485426,19,6,"43.668496,-79.485426"
Weston Lions Park,43.698841,-79.519472,27,11,"43.698841,-79.519472"
Annette St / Jane St,43.658574,-79.487246,15,7,"43.658574,-79.487246"
Jameson Ave / Queen St W,43.63985,-79.43703,27,19,"43.63985,-79.43703"
Carlaw Ave / Dundas St E,43.665076,-79.341509,17,3,"43.665076,-79.341509"
Toronto Inukshuk Park,43.6323994,-79.40978179999999,47,15,"43.6323994,-79.40978179999999"
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,15,5,"43.6935477,-79.3301658"
Swansea Community Centre,43.6438036,-79.4770327,15,5,"43.6438036,-79.4770327"
Bellwoods Ave / Treford Pl,43.65246,-79.413528,20,7,"43.65246,-79.413528"
207 Eastern Avenue,43.6548521,-79.35397680000001,15,2,"43.6548521,-79.35397680000001"
The Queensway / High St,43.630874,-79.482407,23,20,"43.630874,-79.482407"
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,13,0,"43.6704403,-79.45328549999999"
Front St E / Bayview Avenue,43.6535,-79.354068,22,8,"43.6535,-79.354068"
Oak St / Sumach St,43.6617908,-79.361515,27,19,"43.6617908,-79.361515"
The Esplanade / Hahn Pl,43.649709,-79.364184,19,16,"43.649709,-79.364184"
439 Sherbourne St,43.666051,-79.374161,47,40,"43.666051,-79.374161"
Glebe Rd / Yonge St,43.7005976,-79.397345,19,2,"43.7005976,-79.397345"
Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,15,12,"43.7029672,-79.3979073"
Alvin Ave / St Clair Ave E,43.68871,-79.39264,19,0,"43.68871,-79.39264"
Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,22,7,"43.6834703,-79.5108942"
The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,27,4,"43.7696262,-79.5025943"
Sentinel Rd / Finch Hydro Corridor,43.7641485,-79.5012809,27,8,"43.7641485,-79.5012809"
Finch West Subway Station,43.76521,-79.491281,23,9,"43.76521,-79.491281"
Dufferin St / Finch Hydro Recreational Trail,43.7724019,-79.4675395,19,5,"43.7724019,-79.4675395"
G Ross Lord Park,43.7781116,-79.467963,19,7,"43.7781116,-79.467963"
Elwood Blvd / Avenue Rd,43.707049,-79.40966,23,13,"43.707049,-79.40966"
Roehampton St / Bayview Ave,43.711751,-79.378615,27,13,"43.711751,-79.378615"
Teddington Park Ave,43.732975,-79.40401,15,1,"43.732975,-79.40401"
Ursula Franklin St / Huron St,43.660274,-79.398049,20,7,"43.660274,-79.398049"
Woodbine Ave / O'Connor Dr,43.699281,-79.318802,19,12,"43.699281,-79.318802"
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,19,19,"43.696631,-79.297436"
Queen St W / John St,43.650077,-79.391291,23,11,"43.650077,-79.391291"
Fairmount Park,43.6765897,-79.3163022,19,6,"43.6765897,-79.3163022"
Richmond St W / York St,43.650745,-79.383633,17,11,"43.650745,-79.383633"
Sunnybrook Park,43.720233,-79.362092,27,2,"43.720233,-79.362092"
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,19,1,"43.6926825,-79.441042"
Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,14,13,"43.7041957,-79.4094472"
Eglinton Ave W / Redpath Av,43.7078691,-79.39248,15,1,"43.7078691,-79.39248"
Marie Curtis Park,43.5880774,-79.5432067,23,16,"43.5880774,-79.5432067"
Guildwood GO Station (South),43.754978,-79.1971289,11,4,"43.754978,-79.1971289"
Chorley Park,43.6856,-79.3718,20,5,"43.6856,-79.3718"
Cherry Beach,43.637764,-79.345359,48,14,"43.637764,-79.345359"
Spadina Ave / Harbord St,43.6629228,-79.4018451,36,21,"43.6629228,-79.4018451"
Ursula Franklin St / St. George St,43.660296,-79.397107,16,3,"43.660296,-79.397107"
Rouge Hill GO Station,43.7805505,-79.1301203,25,2,"43.7805505,-79.1301203"
Colonel Danforth Park,43.7777114,-79.1659711,19,6,"43.7777114,-79.1659711"
Morningside Park (Highland Creek Trail),43.779353,-79.193023,23,6,"43.779353,-79.193023"
Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,19,10,"43.747854,-79.199327"
Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,19,7,"43.7561681,-79.2026694"
Twelfth St / Thirteenth St,43.6002896,-79.5108692,22,21,"43.6002896,-79.5108692"
Florence Gell Park,43.6615467,-79.498398,15,3,"43.6615467,-79.498398"
Wallace Ave / Pauline Ave,43.6632257,-79.4397052,17,7,"43.6632257,-79.4397052"
Kingston Rd / Beech Ave,43.680095,-79.291714,15,2,"43.680095,-79.291714"
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,19,15,"43.691468,-79.288619"
Union Station,43.645609,-79.380386,43,7,"43.645609,-79.380386"
Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556,22,15,"43.6591666666667,-79.3855555555556"
Seaton St / Dundas St E,43.658777,-79.369596,32,16,"43.658777,-79.369596"
Lundy Ave / Etienne Brule Park,43.6625395,-79.5030161,15,5,"43.6625395,-79.5030161"
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,17,4,"43.7004017,-79.4275305"
Torresdale Ave / Antibes Dr,43.77953,-79.45233,15,10,"43.77953,-79.45233"
Ester Shiner Stadium,43.7774374,-79.4447096,23,15,"43.7774374,-79.4447096"
St. George St / Hoskin Ave,43.6637403,-79.39806449999999,15,8,"43.6637403,-79.39806449999999"
Fleming Cres / Bayview Ave,43.707045,-79.375437,15,2,"43.707045,-79.375437"
King St E / Victoria St,43.6495789,-79.3762096,19,8,"43.6495789,-79.3762096"
Amaleda Ave / Vaughan Rd,43.690903,-79.4375028,16,5,"43.690903,-79.4375028"
Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,15,7,"43.643253094827294,-79.41230469904167"
Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,19,7,"43.6029904,-79.4926867"
Runnymede Rd / Annette St,43.6596299,-79.4799176,15,11,"43.6596299,-79.4799176"
Salem Ave / Bloor St W,43.6608333,-79.43166666666667,15,8,"43.6608333,-79.43166666666667"
Dufferin St / Bloor St,43.66083333333333,-79.43583333333333,22,15,"43.66083333333333,-79.43583333333333"
Davisville Ave / Pailton Cres,43.69933,-79.39199,19,18,"43.69933,-79.39199"
345 High Park Ave,43.6653032,-79.4701178,15,2,"43.6653032,-79.4701178"
10 Judson St,43.6162721,-79.4990363,19,16,"43.6162721,-79.4990363"
Wilket Creek Park,43.720645,-79.355474,27,8,"43.720645,-79.355474"
2659 Dundas St W,43.6641174,-79.4588522,15,11,"43.6641174,-79.4588522"
1266 Queen St W,43.6424558,-79.4296346,15,12,"43.6424558,-79.4296346"
80 Oriole Parkway,43.6954486,-79.4026176,19,3,"43.6954486,-79.4026176"
108 East Lynn Avenue,43.6850809,-79.3149901,15,9,"43.6850809,-79.3149901"
840 Danforth Ave,43.6800218,-79.3405681,16,11,"43.6800218,-79.3405681"
1295-1307 Military Trail,43.7842419,-79.1849889,16,0,"43.7842419,-79.1849889"
Lake Shore Blvd E / Parliament St,43.6451308,-79.36536439999999,15,13,"43.6451308,-79.36536439999999"
324 Cherry St,43.6482995,-79.3552533,19,10,"43.6482995,-79.3552533"
117 Elm Street,43.65637299999999,-79.38781039999999,17,5,"43.65637299999999,-79.38781039999999"
Walton St / Elizabeth St,43.657838,-79.38631,20,3,"43.657838,-79.38631"
Waterfront Trail (Rouge Hill),43.778015,-79.131911,19,3,"43.778015,-79.131911"
St Clair Ave W / Gunns Rd,43.672079,-79.470171,23,6,"43.672079,-79.470171"
Pape Ave / Gamble Ave,43.690237,-79.350119,19,7,"43.690237,-79.350119"
Roehampton Ave / Mount Pleasant Rd - SMART,43.70942,-79.39139,19,5,"43.70942,-79.39139"
Church St / Bloor St E,43.671389,-79.382919,15,6,"43.671389,-79.382919"
200 Bloor St. E.,43.671561,-79.38117,23,15,"43.671561,-79.38117"
Bloor St W / Balmuto St,43.669903,-79.387802,11,6,"43.669903,-79.387802"
Moore Park,43.693256,-79.383238,14,10,"43.693256,-79.383238"
3 Pacific Avenue,43.65412449999999,-79.4636388,7,3,"43.65412449999999,-79.4636388"
896 Danforth Avenue,43.680207,-79.339243,15,5,"43.680207,-79.339243"
Bloor St W / Brock Av,43.6589882,-79.438715,11,7,"43.6589882,-79.438715"
Davenport Rd / Oakwood Rd - SMART,43.6741219,-79.4352208,16,1,"43.6741219,-79.4352208"
1 Market St,43.6469928,-79.3706665,19,11,"43.6469928,-79.3706665"
Brick Works,43.683884,-79.36647,25,5,"43.683884,-79.36647"
600 University Ave,43.6578449,-79.3899265,18,17,"43.6578449,-79.3899265"
University Ave / King St W,43.6477785,-79.3847928,23,5,"43.6477785,-79.3847928"
Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,19,7,"43.6856128,-79.31168269999999"
Summerhill Station,43.681944,-79.390556,11,1,"43.681944,-79.390556"
Niagara St / Richmond St W,43.64534,-79.409597,26,18,"43.64534,-79.409597"
85 Beaty Avenue,43.6393107,-79.4408141,19,14,"43.6393107,-79.4408141"
163 Fallingbrook Rd,43.68306889999999,-79.279682,23,5,"43.68306889999999,-79.279682"
Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,15,10,"43.6626628,-79.3323698"
Donlands Station,43.681114,-79.3373885,15,3,"43.681114,-79.3373885"
Lynn Williams St / East Liberty St,43.638925,-79.4168659,15,6,"43.638925,-79.4168659"
Eastwood Rd / Woodbine Ave,43.676216,-79.309395,14,8,"43.676216,-79.309395"
Victoria St / Queen St E,43.652822,-79.378208,23,19,"43.652822,-79.378208"
26 Dundas Street East,43.656633,-79.379625,39,23,"43.656633,-79.379625"
Gerrard St E / Victoria Park Ave,43.686962,-79.286864,16,4,"43.686962,-79.286864"
98 Glenvale Boulevard,43.718039,-79.371914,17,0,"43.718039,-79.371914"
Bay St / Scollard St,43.672152,-79.39018,15,9,"43.672152,-79.39018"
Weston Rd / St Clair Ave W,43.673019,-79.467994,19,15,"43.673019,-79.467994"
60 Raab Blvd,43.72268,-79.37644,15,9,"43.72268,-79.37644"
505 College Street,43.6504218,-79.4407647,26,1,"43.6504218,-79.4407647"
1451 Yonge Street,43.68850459999999,-79.3940052,19,8,"43.68850459999999,-79.3940052"
Spadina Ave / Blue Jays Way,43.641705,-79.393295,31,30,"43.641705,-79.393295"
2511 bloor st w,43.647663,-79.487583,23,4,"43.647663,-79.487583"
Test,43.720998,-79.377456,11,0,"43.720998,-79.377456"
3180 Yonge Street,43.72814640000001,-79.4032194,12,6,"43.72814640000001,-79.4032194"
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,19,3,"43.652327224103,-79.3882538196087"
Queen St W / Dovercourt Rd,43.6438602,-79.4227573,11,11,"43.6438602,-79.4227573"
2639 Bloor St W,43.64920406876699,-79.49336334201408,27,16,"43.64920406876699,-79.49336334201408"
225 University Avenue,43.6503935,-79.3860211,35,4,"43.6503935,-79.3860211"
135 Queens Warf,43.6399714,-79.39940399999999,16,16,"43.6399714,-79.39940399999999"
"406 Oakwood Ave, York, ON M6E 2W3",43.68827060022711,-79.43937767081853,19,2,"43.68827060022711,-79.43937767081853"
Granby St / Church St -SMART,43.6614605,-79.37894570000002,24,10,"43.6614605,-79.37894570000002"
Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287,20,10,"43.69413548199171,-79.30058718775287"
24 Lawrence Ave East,43.7254665,-79.40115449999999,23,1,"43.7254665,-79.40115449999999"
Roehampton Ave / Yonge St,43.7083577,-79.39886200000001,35,14,"43.7083577,-79.39886200000001"
Hanna Ave / Liberty St,43.63840090000001,-79.4197107,17,1,"43.63840090000001,-79.4197107"
425 Don Mills Rd,43.7027268,-79.33368089999999,19,17,"43.7027268,-79.33368089999999"
St Columba Pl / St Clair Ave E,43.70567,-79.310554,18,5,"43.70567,-79.310554"
Strachan Ave / Princes' Blvd,43.635,-79.4088888888889,19,7,"43.635,-79.4088888888889"
King St E / River St,43.656784782853144,-79.35627385059036,15,10,"43.656784782853144,-79.35627385059036"
Yonge St / Golfdale Rd,43.732016,-79.403637,15,4,"43.732016,-79.403637"
909 Yonge St,43.67515255542865,-79.38849615969643,14,7,"43.67515255542865,-79.38849615969643"
640 Bloor Street East,43.67468857448634,-79.36701962396272,19,10,"43.67468857448634,-79.36701962396272"
"1 Chedington Pl, North York, ON M4N 3R4",43.727365488246306,-79.3814254607724,16,6,"43.727365488246306,-79.3814254607724"
1303 YONGE Street,43.6846177,-79.39245919999999,16,0,"43.6846177,-79.39245919999999"
York University Station - SMART,43.77345,-79.5002,16,6,"43.77345,-79.5002"
Woodbine Subway Station - SMART,43.686442,-79.313404,15,4,"43.686442,-79.313404"
698 Spadina Avenue,43.66402799999999,-79.40297869999999,35,13,"43.66402799999999,-79.40297869999999"
Simcoe St / Queen St W,43.65049,-79.3873,39,1,"43.65049,-79.3873"
Bathurst St / Front St W,43.64134790000001,-79.4013882,27,17,"43.64134790000001,-79.4013882"
Bay St / Harbour St (East),43.64215,-79.377,23,9,"43.64215,-79.377"
E Liberty St / Western Battery Rd,43.6392777,-79.4115736,18,1,"43.6392777,-79.4115736"
522 King Street West,43.645102,-79.39744979999999,22,12,"43.645102,-79.39744979999999"
"1101 Bloor Street West, Toronto",43.6602021,-79.4342726,10,3,"43.6602021,-79.4342726"
200 Parkside Drive,43.644887,-79.45641169999999,15,14,"43.644887,-79.45641169999999"
26 Lipton Avenue,43.680012,-79.34403250000001,26,19,"43.680012,-79.34403250000001"
Fort York Blvd / Garrison Rd,43.637381,-79.406112,15,5,"43.637381,-79.406112"
Housey St / Dan Leckie Way,43.63811,-79.397877,27,17,"43.63811,-79.397877"
1529 Dundas Street West,43.64957,-79.432446,15,7,"43.64957,-79.432446"
85 Lee Ave,43.6700692,-79.2971326,26,19,"43.6700692,-79.2971326"
78 Mutual Street - SMART Vault,43.6559476,-79.37558829999999,19,10,"43.6559476,-79.37558829999999"
Queen St E and Joseph Duggan Rd - SMART Vault,43.6677628,-79.30811709999999,18,7,"43.6677628,-79.30811709999999"
Heyworth Cres / Kingston Rd - SMART Vault,43.6750806,-79.3068697,19,5,"43.6750806,-79.3068697"
St Clair Ave W / Caledonia Rd - SMART Vault,43.6754247,-79.4547813,13,1,"43.6754247,-79.4547813"
Wellington St W / Stafford St,43.6409957,-79.40966630000001,23,19,"43.6409957,-79.40966630000001"
111 Broadview Ave,43.6593483,-79.34993659999999,18,4,"43.6593483,-79.34993659999999"
Christie St / Dupont St,43.67168,-79.421192,19,10,"43.67168,-79.421192"
Richmond St E / Jarvis St Green P,43.652634,-79.374222,16,7,"43.652634,-79.374222"
Bathurst St / Dundas St W,43.6519501,-79.4060978,27,20,"43.6519501,-79.4060978"
274 Oak St,43.6613642,-79.3641171,19,7,"43.6613642,-79.3641171"
24 Mountjoy Ave - SMART Vault,43.6808774,-79.3304491,17,5,"43.6808774,-79.3304491"
88 Colgate Ave - SMART Vault,43.6623658,-79.3413344,19,18,"43.6623658,-79.3413344"
Felstead Ave / Gillard Ave (Monarch Park) - SMART Vault,43.6791345,-79.3263159,27,13,"43.6791345,-79.3263159"
The Esplanade & Lower Jarvis St,43.6478206,-79.3704721,15,7,"43.6478206,-79.3704721"
7972 Remembrance Drive,43.635495,-79.40352209999999,19,3,"43.635495,-79.40352209999999"
101 cedarvale Ave,43.6868681,-79.3110942,20,0,"43.6868681,-79.3110942"
St Clair Ave W / Oakwood Ave - SMART Vault,43.678177,-79.435364,15,1,"43.678177,-79.435364"
5 Merton Street,43.6962302,-79.39504339999999,23,0,"43.6962302,-79.39504339999999"
Shaw St / Essex St - SMART,43.667076,-79.425116,15,8,"43.667076,-79.425116"
St Clair Ave W / Robina Ave - SMART Vault,43.68005,-79.43469,15,6,"43.68005,-79.43469"
Joseph J Piccininni Community Centre,43.675648,-79.4527619,19,4,"43.675648,-79.4527619"
11 SPADINA RD,43.6677246,-79.4041365,18,0,"43.6677246,-79.4041365"
Vanauley St / Queen St W,43.648437,-79.39838,12,7,"43.648437,-79.39838"
Sherbourne St / Wellesley St E,43.6673,-79.374,31,16,"43.6673,-79.374"
Queen St W / York St (City Hall),43.6517925,-79.38269509999999,23,9,"43.6517925,-79.38269509999999"
Queen St W / Roncesvalles Ave,43.6372958,-79.4423237,19,5,"43.6372958,-79.4423237"
71 Havelock Street,43.6554793,-79.4302462,15,3,"43.6554793,-79.4302462"
2 Heath Street West,43.686352,-79.415894,22,0,"43.686352,-79.415894"
999 Queen Street West,43.6442457,-79.41610440000001,23,17,"43.6442457,-79.41610440000001"
York University Station,43.7741,-79.5005,15,3,"43.7741,-79.5005"
333 St.Clair Ave West,43.683979,-79.410657,15,0,"43.683979,-79.410657"
Spadina Ave / Adelaide St W,43.6472019,-79.3953394,15,11,"43.6472019,-79.3953394"
Cherry St / Mill St,43.6513927,-79.35794659999999,15,9,"43.6513927,-79.35794659999999"
Jarvis St / Maitland Pl,43.6647688,-79.3772602,17,1,"43.6647688,-79.3772602"
55 Temperance St,43.6506,-79.381285,23,11,"43.6506,-79.381285"
Cherry Beach Sports Field (55 Unwin Ave),43.6408346,-79.3429074,15,6,"43.6408346,-79.3429074"
152 Perth Avenue,43.6585504,-79.4497659,19,11,"43.6585504,-79.4497659"
15 Denison Ave,43.6484201,-79.40051919999999,28,7,"43.6484201,-79.40051919999999"
324 Cedarvale Avenue,43.693187,-79.314283,11,5,"43.693187,-79.314283"
18 Portland Street,43.6425791,-79.40011729999999,11,5,"43.6425791,-79.40011729999999"
75 The Esplanade,43.6469251,-79.3733192,18,9,"43.6469251,-79.3733192"
620 King Street West,43.644395,-79.40065430000001,16,9,"43.644395,-79.40065430000001"
360 King Street West,43.6463574,-79.391206,11,6,"43.6463574,-79.391206"
280 Wellesley Street East,43.6682342,-79.3702641,15,1,"43.6682342,-79.3702641"
1126 Yonge Street,43.6791876,-79.39071899999999,15,0,"43.6791876,-79.39071899999999"
Davenport Rd / Bedford Rd,43.674446,-79.398331,15,3,"43.674446,-79.398331"
265 Armadale Ave,43.6501644,-79.48296909999999,31,18,"43.6501644,-79.48296909999999"
800 Fleet Street,43.636804,-79.408832,43,28,"43.636804,-79.408832"
St Joseph St / Bay St,43.6658804,-79.38761010000002,19,5,"43.6658804,-79.38761010000002"
1085 Kingston Rd,43.68035,-79.28357,15,10,"43.68035,-79.28357"
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,17,7,"43.6535052,-79.3667689"
150 Highview Avenue,43.702418581463505,-79.2563167072858,15,13,"43.702418581463505,-79.2563167072858"
Kingston Rd / Warden Ave,43.68824135931814,-79.27046628033244,14,4,"43.68824135931814,-79.27046628033244"
Birchcliff Ave / Kingston Rd,43.691688,-79.265027,15,9,"43.691688,-79.265027"
5 Glen Everest Rd (Rosetta McClain Gardens),43.697490048103,-79.25655146462776,15,9,"43.697490048103,-79.25655146462776"
Birchmount Rd / Kingston Rd,43.69401297794256,-79.26257204548136,15,12,"43.69401297794256,-79.26257204548136"
Pharmacy Ave / Danforth Ave,43.6929478,-79.28339980000001,15,3,"43.6929478,-79.28339980000001"
Danforth Ave / Warden Ave,43.6950192,-79.27180659999999,15,4,"43.6950192,-79.27180659999999"
2343 Eglinton Ave W,43.69263249999999,-79.4627536,19,5,"43.69263249999999,-79.4627536"
50 Natal St,43.7105975,-79.2541175,15,1,"43.7105975,-79.2541175"
2067 EglintonAve W,43.69415,-79.45782580000001,19,1,"43.69415,-79.45782580000001"
120 Marlee Ave,43.70163,-79.44099,19,1,"43.70163,-79.44099"
BERT ROBINSON PARK,43.688028,-79.460265,15,2,"43.688028,-79.460265"
200 Rogers Rd,43.68323,-79.455765,23,1,"43.68323,-79.455765"
1963 Eglinton Ave W,43.69466,-79.45376999999999,14,1,"43.69466,-79.45376999999999"
23 Chester Ave.,43.6784834,-79.3513564,9,2,"43.6784834,-79.3513564"
2682 Bloor St W,43.65016869999999,-79.4963345,19,6,"43.65016869999999,-79.4963345"
342 Prince Edward Dr N,43.6492,-79.50601999999999,15,8,"43.6492,-79.50601999999999"
Luttrell Ave / Danforth Ave,43.6897656,-79.2939525,15,6,"43.6897656,-79.2939525"
1926 Lake Shore Blvd W,43.6357643,-79.4674917,23,21,"43.6357643,-79.4674917"
36A Park Lawn Road,43.62369169999999,-79.4838132,15,7,"43.62369169999999,-79.4838132"
119 Constance Street,43.648657,-79.458111,15,14,"43.648657,-79.458111"
Ted Rogers Way / Bloor St E,43.671293,-79.380471,23,15,"43.671293,-79.380471"
481 Locksley Avenue,43.699327072589426,-79.4493630391668,14,3,"43.699327072589426,-79.4493630391668"
316 Park Lawn Road,43.63560589999999,-79.4934616,15,1,"43.63560589999999,-79.4934616"
Tobemory Dr / Finch Hydro Recreational Trail,43.7611741,-79.5114452,19,7,"43.7611741,-79.5114452"
Driftwood Ave / Finch Hydro Trail,43.7603624,-79.5162777,18,0,"43.7603624,-79.5162777"
45 Grand Avenue,43.62313,-79.4918,21,9,"43.62313,-79.4918"
1804 Ian Macdonald Boulevard,43.772445,-79.511912,15,6,"43.772445,-79.511912"
Berkeley St / Adelaide St E - SMART,43.653359,-79.365023,11,7,"43.653359,-79.365023"
2301 Kingston Rd,43.70643614257429,-79.25104443353288,11,8,"43.70643614257429,-79.25104443353288"
152 Shuter Street,43.655972,-79.370638,15,12,"43.655972,-79.370638"
York St / Lakeshore St W - South,43.641952,-79.380723,19,10,"43.641952,-79.380723"
8 Maud Street,43.646552,-79.399586,11,8,"43.646552,-79.399586"
184 College St,43.6591529,-79.3947953,14,5,"43.6591529,-79.3947953"
Emerson Ave / Bloor St W,43.659055,-79.440764,23,3,"43.659055,-79.440764"
Sherbourne St / Isabella St,43.669576,-79.375961,19,4,"43.669576,-79.375961"
Victoria Park Ave / Dawes Rd,43.706466,-79.29511,19,3,"43.706466,-79.29511"
Roncesvalles Ave / Fermanagh Ave - SMART Vault,43.646314469245205,-79.44879407014527,19,18,"43.646314469245205,-79.44879407014527"
Tommy Thompson Park (Leslie Street Spit),43.65222662225532,-79.32295440954084,31,27,"43.65222662225532,-79.32295440954084"
St. John's Rd / Dundas St W,43.66526761605873,-79.47502122887077,15,11,"43.66526761605873,-79.47502122887077"
496 Bloor St W,43.66554144421798,-79.41010317605742,15,1,"43.66554144421798,-79.41010317605742"
Pioneer Village Subway Station,43.77649016265579,-79.5085364909097,11,4,"43.77649016265579,-79.5085364909097"
Toronto Eaton Centre (Yonge St),43.655431,-79.380653,20,8,"43.655431,-79.380653"
361 University Ave,43.65351799690878,-79.38591063795928,14,3,"43.65351799690878,-79.38591063795928"
Lake Shore Blvd W / Brow Dr,43.59119994025076,-79.54449133041076,15,1,"43.59119994025076,-79.54449133041076"
25 BOOTH AVE,43.6544839,-79.34105699999999,24,4,"43.6544839,-79.34105699999999"
215 Spadina Ave,43.65082785552666,-79.39698099821702,23,8,"43.65082785552666,-79.39698099821702"
St. Clair Ave W / Osler St,43.673843560032594,-79.46092618902435,11,5,"43.673843560032594,-79.46092618902435"
Simcoe St / King St W,43.647508351306186,-79.38604436555764,15,2,"43.647508351306186,-79.38604436555764"
5 Grenoble Dr,43.71513211098082,-79.33413623320465,14,0,"43.71513211098082,-79.33413623320465"
48 Grenoble Dr,43.71649675774656,-79.33089439933623,15,6,"43.71649675774656,-79.33089439933623"
75 Grenoble Dr,43.715537998967406,-79.32811427663442,11,8,"43.715537998967406,-79.32811427663442"
12 Thorncliffe Park Dr,43.70400405297843,-79.34807015078738,15,6,"43.70400405297843,-79.34807015078738"
250 Ferrand Dr,43.719632535237835,-79.33199950866776,19,9,"43.719632535237835,-79.33199950866776"
165 McRae Dr,43.70656159598004,-79.36781965092621,15,3,"43.70656159598004,-79.36781965092621"
75 Thorncliffe Park Dr,43.70518328279426,-79.34224729962946,11,4,"43.70518328279426,-79.34224729962946"
220 Davisville Ave (June Rowlands Park),43.70088225686968,-79.38736016665911,16,0,"43.70088225686968,-79.38736016665911"
525 Avenue Rd (Amsterdam Square),43.68688938028234,-79.40099513147447,15,0,"43.68688938028234,-79.40099513147447"
HTO Park (Queens Quay W),43.63796,-79.387502,27,12,"43.63796,-79.387502"
